userName,score,at,content
widiyat moko,3,2025-12-11 11:31:48,"sudah punya akun PLN Mobile ketika buka aplikasi harus login ulang dan prosesnya kurang simpel. menunggu kode verifikasi tidak masuk dan ketika masuk masih tahap email, padahal sudah punya akun dengan nomor dan email yang sama."
Otok Kuspujianto,5,2025-12-11 11:29:43,pelaporan gangguan fast respon
Inspeksi Bagan Batu,5,2025-12-11 11:28:02,Solusi terbaik untuk segala info kelistrikan. mantappppp
Stelny Takarasel,5,2025-12-11 11:27:43,Beli token biaya admin murah transaksi cepat aplikasi kekinian.
Arif Samz,5,2025-12-11 11:27:40,"Aplikasi terbaik, terus tingkatkan fitur pengaduan dan pembayarannya, agar penggunaan dan pemanfaatannya lebih mudah"
Minoq Pashter,5,2025-12-11 11:26:38,Alhamdulillah lampu sudah hidup kembali.. penangan tim dan respon tim cukup baik.. terimakasih 🙏🙏🙏
Intan ALMIRA,1,2025-12-11 11:26:02,gk ada jawaban. ngapain jg ada aplikasinya klo gk ada respon bro-bro.
Oky Mahendra,5,2025-12-11 11:21:29,Mantapp betul
Tika Nurhasanah,5,2025-12-11 11:21:09,aplikasi mempermudah transaksi listrikkk..
S Dien,5,2025-12-11 11:20:47,dengan adanya Pln mobile jadi memudahkan semua pengajuan tentang kelistrikan.
ady vicky hardiyansyah,5,2025-12-11 11:20:11,"melalui aplikasi Pln mobile trasaksi lebih mudah dan cepat, mantapppp"
udin jaenudin,5,2025-12-11 11:19:39,semakin mudah
Agus Tiar,5,2025-12-11 11:17:36,sangat membantu dan mempermudah pembayaran dan layanan listrik
Najwa Syafiqoh,5,2025-12-11 11:17:31,baik
Sriyanti Loloda,5,2025-12-11 11:13:32,cepat dan baik untuk masyarakat
Aryandi Rizki,5,2025-12-11 11:13:13,pln mobile terbaik
Dian Jon,5,2025-12-11 11:12:53,pln mobile goooddddd
Aynul Rozaq,5,2025-12-11 11:12:50,"laporan cepat, penanganan tepat"
ageng hidayat,5,2025-12-11 11:12:38,PLN mobile mantap
Ipan Nawawi,5,2025-12-11 11:12:18,bagus
